2025-11-10 18:40:04 | INFO | strapi_api | [POST] https://tranquil-compassion-986c2331de.strapiapp.com/api/authors | Payload: {'data': {'name': 'Carl', 'email': 'uwright@example.com', 'articles': {'connect': ['ftr9oct41ji09mc913qy3aw9']}}} | Headers: {'Content-Type': 'application/json', 'Accept': 'application/json', 'Authorization': 'Bearer e9a8d0f1e219fd7b3b23a4cab768dd050860ca917cd0560d9f56f3c54b24d420878de876c6ef4ff50016e1eb556cadbb2bc65919edd572a2e4fcd978fd9ad5a7c578282397f577223f0ec283db0c6315053a7028fcb390e63db634fd9f62fafacbd83d42b08989df2767dc45f99331b13cc8c7cedd2aa9707c70c0f3ce472b6e'}
2025-11-10 18:40:04 | INFO | strapi_api | → Response [POST 201]: {"data":{"id":186,"documentId":"ioyy89dfgbe5ma8ef8rs89qz","name":"Carl","email":"uwright@example.com","createdAt":"2025-11-10T18:40:04.758Z","updatedAt":"2025-11-10T18:40:04.758Z","publishedAt":"2025-...
2025-11-10 18:40:04 | INFO | strapi_api | [GET] https://tranquil-compassion-986c2331de.strapiapp.com/api/authors/ioyy89dfgbe5ma8ef8rs89qz | Params: None | Headers: {'Content-Type': 'application/json', 'Accept': 'application/json', 'Authorization': 'Bearer e9a8d0f1e219fd7b3b23a4cab768dd050860ca917cd0560d9f56f3c54b24d420878de876c6ef4ff50016e1eb556cadbb2bc65919edd572a2e4fcd978fd9ad5a7c578282397f577223f0ec283db0c6315053a7028fcb390e63db634fd9f62fafacbd83d42b08989df2767dc45f99331b13cc8c7cedd2aa9707c70c0f3ce472b6e'}
2025-11-10 18:40:05 | INFO | strapi_api | → Response [GET 200]: {"data":{"id":186,"documentId":"ioyy89dfgbe5ma8ef8rs89qz","name":"Carl","email":"uwright@example.com","createdAt":"2025-11-10T18:40:04.758Z","updatedAt":"2025-11-10T18:40:04.758Z","publishedAt":"2025-...
2025-11-10 18:40:05 | INFO | validation_manager | Validating status code 200 for URL: https://tranquil-compassion-986c2331de.strapiapp.com/api/authors/ioyy89dfgbe5ma8ef8rs89qz
2025-11-10 18:40:05 | INFO | validation_manager |  Status code 200 validated successfully for https://tranquil-compassion-986c2331de.strapiapp.com/api/authors/ioyy89dfgbe5ma8ef8rs89qz
2025-11-10 18:40:05 | INFO | validation_manager | Validating response JSON against 'detail_response_schema.json'
2025-11-10 18:40:05 | INFO | validation_manager | Loaded schema: detail_response_schema.json
2025-11-10 18:40:05 | INFO | validation_manager | JSON schema validation passed: detail_response_schema.json
2025-11-10 18:40:05 | INFO | validation_manager | Validating field 'documentId' equals 'ioyy89dfgbe5ma8ef8rs89qz' at root data level
2025-11-10 18:40:05 | INFO | validation_manager | Extracting JSON from response...
2025-11-10 18:40:05 | INFO | validation_manager | Field 'documentId' equals expected value
2025-11-10 18:40:05 | INFO | validation_manager | Validating field 'name' equals 'Carl' at root data level
2025-11-10 18:40:05 | INFO | validation_manager | Extracting JSON from response...
2025-11-10 18:40:05 | INFO | validation_manager | Field 'name' equals expected value
2025-11-10 18:40:05 | INFO | validation_manager | Validating field 'email' equals 'uwright@example.com' at root data level
2025-11-10 18:40:05 | INFO | validation_manager | Extracting JSON from response...
2025-11-10 18:40:05 | INFO | validation_manager | Field 'email' equals expected value
